sort_id,Manuscript.ID,Submission.Question.Response.y,appar_link,appar_supp,appar_data,appar_code,Is a link and/or supplementary materials provided?,How is it provided?,Is data and/or code provided?,Checked by,Notes
101,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
102,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
103,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
104,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
105,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
106,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],
107,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],
108,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
109,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
110,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Code,[redacted],Data as accession numbers in supps
111,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
112,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
113,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
114,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
115,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
116,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
117,[redacted],[redacted],TRUE,FALSE,FALSE,TRUE,Yes,Link,Data and Code,[redacted],
118,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
119,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
120,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
121,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
122,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
123,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
124,[redacted],[redacted],FALSE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data,[redacted],
125,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Code,[redacted],simulation only
126,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Supplementary materials,Data and Code,[redacted],
127,[redacted],[redacted],TRUE,TRUE,TRUE,TRUE,Yes,Both,Data and Code,[redacted],
128,[redacted],[redacted],TRUE,FALSE,TRUE,TRUE,Yes,Link,Data and Code,[redacted],
129,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
130,[redacted],[redacted],TRUE,FALSE,FALSE,TRUE,Yes,Link,Code,[redacted],simulation only
131,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
132,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
133,[redacted],[redacted],FALSE,TRUE,TRUE,FALSE,Yes,Supplementary materials,Data,[redacted],
134,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Unclear,[redacted],
135,[redacted],[redacted],TRUE,FALSE,TRUE,FALSE,Yes,Link,Data,[redacted],
